HSCIC_Region,ONS.LA.Code,ONS.LA.Name
Newcastle upon Tyne,E08000021,Newcastle upon Tyne
Newham,E09000025,Newham
[NOT PRESENT IN DATASET],[NOT PRESENT IN DATASET],[NOT PRESENT IN DATASET]
Norfolk,E10000020,Norfolk
North East Lincolnshire,E06000012,North East Lincolnshire
North Lincolnshire,E06000013,North Lincolnshire
North Somerset,E06000024,North Somerset
North Tyneside,E08000022,North Tyneside
North Yorkshire,E10000023,North Yorkshire
Northamptonshire,E10000021,Northamptonshire
Northumberland,E06000048,Northumberland
Nottingham,E06000018,Nottingham
Nottinghamshire,E10000024,Nottinghamshire
Oldham,E08000004,Oldham
Oxfordshire,E10000025,Oxfordshire
Peterborough,E06000031,Peterborough
Plymouth,E06000026,Plymouth
Poole,E06000029,Poole
Portsmouth,E06000044,Portsmouth
Reading,E06000038,Reading
Redbridge,E09000026,Redbridge
Redcar and Cleveland,E06000003,Redcar and Cleveland
Richmond upon Thames,E09000027,Richmond upon Thames
Rochdale,E08000005,Rochdale
Rotherham,E08000018,Rotherham
Rutland,E06000017,Rutland
Salford,E08000006,Salford
Sandwell,E08000028,Sandwell
Sefton,E08000014,Sefton
Sheffield,E08000019,Sheffield
Shropshire,E06000051,Shropshire
Slough,E06000039,Slough
Solihull,E08000029,Solihull
Somerset,E10000027,Somerset
South Gloucestershire,E06000025,South Gloucestershire
South Tyneside,E08000023,South Tyneside
Southampton,E06000045,Southampton
Southend-on-Sea,E06000033,Southend-on-Sea
Southwark,E09000028,Southwark
St. Helens,E08000013,St. Helens
Staffordshire,E10000028,Staffordshire
Stockport,E08000007,Stockport
Stockton-on-Tees,E06000004,Stockton-on-Tees
Stoke-on-Trent,E06000021,Stoke-on-Trent
Suffolk,E10000029,Suffolk
Sunderland,E08000024,Sunderland
Surrey,E10000030,Surrey
Sutton,E09000029,Sutton
Swindon,E06000030,Swindon
Tameside,E08000008,Tameside
Telford and Wrekin,E06000020,Telford and Wrekin
Thurrock,E06000034,Thurrock
Torbay,E06000027,Torbay
Tower Hamlets,E09000030,Tower Hamlets
Trafford,E08000009,Trafford
[NOT PRESENT IN DATASET],[NOT PRESENT IN DATASET],[NOT PRESENT IN DATASET]
Wakefield,E08000036,Wakefield
Walsall,E08000030,Walsall
Waltham Forest,E09000031,Waltham Forest
Wandsworth,E09000032,Wandsworth
Warrington,E06000007,Warrington
Warwickshire,E10000031,Warwickshire
West Berkshire,E06000037,West Berkshire
West Sussex,E10000032,West Sussex
Westminster,E09000033,Westminster
Wigan,E08000010,Wigan
Wiltshire,E06000054,Wiltshire
Windsor and Maidenhead,E06000040,Windsor and Maidenhead
Wirral,E08000015,Wirral
Wokingham,E06000041,Wokingham
Wolverhampton,E08000031,Wolverhampton
Worcestershire,E10000034,Worcestershire
York,E06000014,York
